Player,Rank
Freddie Freeman,-9182851.285723237
Carlos Narváez,-9182851.313569978
Emmanuel Rivera,-9182851.317167073
Rafael Ortega,-9182851.324211586
Miguel Rojas,-9182851.350440094
Garrett Stubbs,-9182851.403517751
Ben Gamel,-9182851.418829154
Curt Casali,-9182851.435772793
Ryan O'hearn,-9182851.441447059
Joey Bart,-9182851.472398203
Justin Turner,-9182851.482407704
Eugenio Suárez,-9182851.486352807
Bryan Ramos,-9182851.520787952
Masyn Winn,-9182851.532323966
Xavier Edwards,-9182851.543458015
Alejandro Kirk,-9182851.546836298
Rhys Hoskins,-9182851.548108257
Santiago Espinal,-9182851.56068721
Bryce Harper,-9182851.56104208
Isaac Paredes,-9182851.568603214
Whit Merrifield,-9182851.578048728
Richie Palacios,-9182851.579265356
Luis Rengifo,-9182851.666320005
Matt Wallner,-9182851.67313781
Rafael Marchán,-9182851.729345879
Andrew Benintendi,-9182851.750367438
Alec Bohm,-9182851.755438011
Austin Wells,-9182851.775288917
Jeff Mcneil,-9182851.790434478
Jesse Winker,-9182851.829417361
Gio Urshela,-9182851.865540443
Cooper Hummel,-9182851.878057392
Joshua Palacios,-9182851.923740426
Hunter Renfroe,-9182851.93137892
Akil Baddoo,-9182851.951649107
William Contreras,-9182851.9640413
Christian Bethancourt,-9182852.015903676
Steven Kwan,-9182852.019854294
Anthony Rendon,-9182852.04873386
Aaron Judge,-9182852.06593255
Bligh Madris,-9182852.089264607
Josh Naylor,-9182852.102093965
Ben Rice,-9182852.102140706
Tucker Barnhart,-9182852.136598755
Miguel Sanó,-9182852.142515292
Sean Murphy,-9182852.264029177
Christian Walker,-9182852.306774281
Tommy Edman,-9182852.374080472
Bobby Witt,-9182852.42138333
Maikel García,-9182852.473228548
J. p. Crawford,-9182852.490334462
Brayan Rocchio,-9182852.497739514
Kyle Tucker,-9182852.51586729
Jonathan India,-9182852.530387463
Vinnie Pasquantino,-9182852.576126695
Dane Myers,-9182852.603130383
Mickey Gasper,-9182852.623097356
Ozzie Albies,-9182852.627717983
Manuel Margot,-9182852.63321438
Zach Dezenzo,-9182852.653759396
Matt Chapman,-9182852.662870852
Francisco Álvarez,-9182852.729398148
Isiah Kiner-falefa,-9182852.79635005
Luis Torrens,-9182852.818381688
Nick Maton,-9182852.863385273
Nico Hoerner,-9182852.895805815
Gleyber Torres,-9182852.914981045
Nathan Lukes,-9182852.947801298
Hunter Feduccia,-9182852.956648638
Anthony Santander,-9182852.986386048
Mitch Haniger,-9182852.98854685
Greg Jones,-9182853.021127773
Tristan Gray,-9182853.070413703
Wyatt Langford,-9182853.08409764
Brendan Donovan,-9182853.098889204
Willy Adames,-9182853.113573153
Tj Friedl,-9182853.124756485
Jurickson Profar,-9182853.1591668
Jon Singleton,-9182853.162714198
Shay Whitcomb,-9182853.177304475
Weston Wilson,-9182853.181054708
Drew Romo,-9182853.19093612
Rece Hinds,-9182853.191611964
Adam Frazier,-9182853.20115895
Nick Sogard,-9182853.209306609
Matt Carpenter,-9182853.255942458
Ryan Mckenna,-9182853.261201505
Luis Guillorme,-9182853.261768326
Luis Urías,-9182853.269579891
Duke Ellis,-9182853.26971925
Danny Jansen,-9182853.294252537
Eric Yang,-9182853.316845145
Brent Rooker,-9182853.32949119
Geraldo Perdomo,-9182853.36360421
Jacob Stallings,-9182853.386703482
Brett Sullivan,-9182853.478563624
Trent Grisham,-9182853.510253925
Austin Wynns,-9182853.521255327
Eloy Jiménez,-9182853.573721327
Darell Hernaiz,-9182853.587257087
Joey Meneses,-9182853.606935678
Francisco Lindor,-9182853.612493522
Abraham Toro,-9182853.612902889
Joc Pederson,-9182853.620428992
Nasim Nuñez,-9182853.648193043
Miguel Amaya,-9182853.657039154
Hunter Goodman,-9182853.744243335
Spencer Steer,-9182853.74805823
David Fry,-9182853.800631292
David Dahl,-9182853.812454946
Jake Meyers,-9182853.82432016
Taylor Trammell,-9182853.85904876
Luis Vázquez,-9182853.91625234
Max Muncy,-9182853.920557221
