,winner,loser,score
1553,Brian Bass,Matt Cain,5
1554,Matt Cain,Brian Bass,5
1555,Brian Burres,Anibal Sanchez,5
1556,Brian Burres,Barry Zito,0
1557,Brian Burres,Blake Hawksworth,1
1558,Brian Burres,Brad Lincoln,0
1559,Brian Burres,Brad Penny,0
1560,Brian Burres,Brandon Lyon,7
1561,Brian Burres,Brandon Medders,5
1562,Brandon Medders,Brian Burres,5
1563,Brian Burres,Brian Moehler,0
1564,Brian Burres,Charlie Morton,0
1565,Brian Burres,Chris Carpenter,0
1566,Brian Burres,Chris Narveson,0
1567,Brian Burres,Chris Volstad,0
1568,Brian Burres,Dave Bush,5
1569,Dave Bush,Brian Burres,5
1570,Brian Burres,Evan Meek,0
1571,Brian Burres,Felipe Paulino,9
1572,Brian Burres,Franklin Morales,0
1573,Brian Burres,Gio Gonzalez,0
1574,Brian Burres,Jaime Garcia,0
1575,Brian Burres,Jake Westbrook,10
1576,Brian Burres,James McDonald,0
1577,Brian Burres,Jason Motte,0
1578,Brian Burres,Jeff Karstens,0
1579,Brian Burres,Jered Weaver,5
1580,Jered Weaver,Brian Burres,5
1581,Brian Burres,Joe Blanton,8
1582,Brian Burres,Joe Martinez,5
1583,Joe Martinez,Brian Burres,5
1584,Brian Burres,Joel Peralta,6
1585,Joel Peralta,Brian Burres,6
1586,Brian Burres,Jon Garland,0
1587,Brian Burres,Jon Lester,5
1588,Jon Lester,Brian Burres,5
1589,Brian Burres,Jonathon Niese,0
1590,Brian Burres,Jordan Zimmermann,4
1591,Brian Burres,Jose Veras,0
1592,Brian Burres,Juan Gutierrez,0
1593,Brian Burres,Justin Miller,0
1594,Brian Burres,Kyle McClellan,0
1595,Brian Burres,Livan Hernandez,15
