,winner,loser,score
322,Brett Anderson,Bobby Parnell,0
323,Brett Anderson,Brad Peacock,0
324,Brett Anderson,Brett Oberholtzer,0
325,Brett Anderson,Chris Devenski,0
326,Brett Anderson,Chris Smith,0
327,Brett Anderson,Chris Tillman,0
328,Brett Anderson,Cody Allen,0
329,Brett Anderson,Corey Knebel,0
330,Brett Anderson,Craig Kimbrel,0
331,Brett Anderson,David Phelps,0
332,Brett Anderson,David Price,0
333,Brett Anderson,David Robertson,0
334,Brett Anderson,Dellin Betances,0
335,Brett Anderson,Derek Holland,0
336,Brett Anderson,Dillon Gee,0
337,Brett Anderson,Drew Pomeranz,0
338,Brett Anderson,Edinson Volquez,0
339,Brett Anderson,Fernando Abad,0
340,Brett Anderson,Fernando Salas,0
341,Brett Anderson,Gerrit Cole,0
342,Brett Anderson,Homer Bailey,0
343,Brett Anderson,Ian Kennedy,0
344,Brett Anderson,J.P. Howell,0
345,Brett Anderson,James Paxton,0
346,Brett Anderson,James Shields,0
347,Brett Anderson,Jarred Cosart,0
348,Brett Anderson,Jason Vargas,0
349,Brett Anderson,Jeff Locke,0
350,Brett Anderson,Jeremy Jeffress,0
351,Brett Anderson,Jimmy Nelson,0
352,Brett Anderson,Josh Fields,0
353,Brett Anderson,Kirby Yates,0
354,Brett Anderson,Lance McCullers Jr.,0
355,Brett Anderson,Luke Hochevar,0
356,Brett Anderson,Mark Melancon,0
357,Brett Anderson,Matt Moore,0
358,Brett Anderson,Matt Reynolds,0
359,Brett Anderson,Matt Shoemaker,0
360,Brett Anderson,Mike Leake,0
361,Brett Anderson,Nate Karns,0
362,Brett Anderson,Phil Hughes,0
363,Brett Anderson,Sammy Solis,0
364,Brett Anderson,Santiago Casilla,0
365,Brett Anderson,Tom Koehler,0
366,Brett Anderson,Trevor Bauer,0
367,Brett Anderson,Trevor Cahill,0
368,Brett Anderson,Tyler Duffey,0
369,Brett Anderson,Vance Worley,0
370,Brett Anderson,Wade Davis,0
371,Brett Oberholtzer,Alex Cobb,0
372,Brett Oberholtzer,Alex Wood,0
373,Brett Oberholtzer,Anthony DeSclafani,0
374,Brett Oberholtzer,Archie Bradley,1
375,Brett Oberholtzer,Bobby Parnell,0
376,Brett Oberholtzer,Brad Peacock,0
377,Brett Oberholtzer,Brett Anderson,0
378,Brett Oberholtzer,Chris Devenski,4
379,Brett Oberholtzer,Chris Smith,0
380,Brett Oberholtzer,Chris Tillman,0
381,Brett Oberholtzer,Cody Allen,5
382,Brett Oberholtzer,Corey Knebel,0
383,Brett Oberholtzer,Craig Kimbrel,0
384,Brett Oberholtzer,David Phelps,10
385,Brett Oberholtzer,David Price,0
386,Brett Oberholtzer,David Robertson,0
387,Brett Oberholtzer,Dellin Betances,5
388,Brett Oberholtzer,Derek Holland,0
389,Brett Oberholtzer,Dillon Gee,0
390,Brett Oberholtzer,Drew Pomeranz,0
391,Brett Oberholtzer,Edinson Volquez,0
392,Brett Oberholtzer,Fernando Abad,0
393,Brett Oberholtzer,Fernando Salas,0
394,Brett Oberholtzer,Gerrit Cole,0
395,Brett Oberholtzer,Homer Bailey,0
396,Brett Oberholtzer,Ian Kennedy,0
397,Brett Oberholtzer,J.P. Howell,0
398,Brett Oberholtzer,James Paxton,0
399,Brett Oberholtzer,James Shields,0
400,Brett Oberholtzer,Jarred Cosart,0
401,Brett Oberholtzer,Jason Vargas,0
402,Brett Oberholtzer,Jeff Locke,0
403,Brett Oberholtzer,Jeremy Jeffress,5
404,Brett Oberholtzer,Jimmy Nelson,0
405,Brett Oberholtzer,Josh Fields,0
406,Brett Oberholtzer,Kirby Yates,0
407,Brett Oberholtzer,Lance McCullers Jr.,0
408,Brett Oberholtzer,Luke Hochevar,0
409,Brett Oberholtzer,Mark Melancon,0
410,Brett Oberholtzer,Matt Moore,0
411,Brett Oberholtzer,Matt Reynolds,0
412,Brett Oberholtzer,Matt Shoemaker,0
413,Brett Oberholtzer,Mike Leake,0
414,Brett Oberholtzer,Nate Karns,0
415,Brett Oberholtzer,Phil Hughes,0
416,Brett Oberholtzer,Sammy Solis,0
417,Brett Oberholtzer,Santiago Casilla,0
418,Brett Oberholtzer,Tom Koehler,3
419,Brett Oberholtzer,Trevor Bauer,0
420,Brett Oberholtzer,Trevor Cahill,0
421,Brett Oberholtzer,Tyler Duffey,0
422,Brett Oberholtzer,Vance Worley,0
423,Brett Oberholtzer,Wade Davis,0
424,Chris Devenski,Alex Cobb,0
425,Chris Devenski,Alex Wood,0
426,Chris Devenski,Anthony DeSclafani,6
427,Chris Devenski,Archie Bradley,0
428,Chris Devenski,Bobby Parnell,5
429,Chris Devenski,Brad Peacock,0
430,Chris Devenski,Brett Anderson,0
431,Chris Devenski,Brett Oberholtzer,5
432,Chris Devenski,Chris Smith,0
433,Chris Devenski,Chris Tillman,0
434,Chris Devenski,Cody Allen,2
435,Chris Devenski,Corey Knebel,0
436,Chris Devenski,Craig Kimbrel,5
437,Chris Devenski,David Phelps,1
438,Chris Devenski,David Price,11
439,Chris Devenski,David Robertson,1
440,Chris Devenski,Dellin Betances,5
441,Chris Devenski,Derek Holland,0
442,Chris Devenski,Dillon Gee,0
443,Chris Devenski,Drew Pomeranz,0
444,Chris Devenski,Edinson Volquez,14
445,Chris Devenski,Fernando Abad,0
446,Chris Devenski,Fernando Salas,7
447,Chris Devenski,Gerrit Cole,5
448,Chris Devenski,Homer Bailey,0
449,Chris Devenski,Ian Kennedy,1
450,Chris Devenski,J.P. Howell,0
451,Chris Devenski,James Paxton,4
452,Chris Devenski,James Shields,10
453,Chris Devenski,Jarred Cosart,0
454,Chris Devenski,Jason Vargas,0
455,Chris Devenski,Jeff Locke,0
456,Chris Devenski,Jeremy Jeffress,0
457,Chris Devenski,Jimmy Nelson,5
458,Chris Devenski,Josh Fields,4
459,Chris Devenski,Kirby Yates,0
460,Chris Devenski,Lance McCullers Jr.,5
461,Chris Devenski,Luke Hochevar,0
462,Chris Devenski,Mark Melancon,5
463,Chris Devenski,Matt Moore,11
464,Chris Devenski,Matt Reynolds,0
465,Chris Devenski,Matt Shoemaker,0
466,Chris Devenski,Mike Leake,1
467,Chris Devenski,Nate Karns,9
468,Chris Devenski,Phil Hughes,0
469,Chris Devenski,Sammy Solis,0
470,Chris Devenski,Santiago Casilla,5
471,Chris Devenski,Tom Koehler,5
472,Chris Devenski,Trevor Bauer,0
473,Chris Devenski,Trevor Cahill,0
474,Chris Devenski,Tyler Duffey,0
475,Chris Devenski,Vance Worley,0
476,Chris Devenski,Wade Davis,0
477,Chris Smith,Alex Cobb,0
478,Chris Smith,Alex Wood,0
479,Chris Smith,Anthony DeSclafani,0
480,Chris Smith,Archie Bradley,5
481,Chris Smith,Bobby Parnell,0
482,Chris Smith,Brad Peacock,0
483,Chris Smith,Brett Anderson,0
484,Chris Smith,Brett Oberholtzer,0
485,Chris Smith,Chris Devenski,0
486,Chris Smith,Chris Tillman,0
487,Chris Smith,Cody Allen,0
488,Chris Smith,Corey Knebel,0
489,Chris Smith,Craig Kimbrel,0
490,Chris Smith,David Phelps,0
491,Chris Smith,David Price,0
492,Chris Smith,David Robertson,5
493,Chris Smith,Dellin Betances,5
494,Chris Smith,Derek Holland,0
495,Chris Smith,Dillon Gee,0
496,Chris Smith,Drew Pomeranz,0
497,Chris Smith,Edinson Volquez,0
498,Chris Smith,Fernando Abad,0
499,Chris Smith,Fernando Salas,0
500,Chris Smith,Gerrit Cole,0
501,Chris Smith,Homer Bailey,0
502,Chris Smith,Ian Kennedy,10
503,Chris Smith,J.P. Howell,0
504,Chris Smith,James Paxton,0
505,Chris Smith,James Shields,0
506,Chris Smith,Jarred Cosart,4
507,Chris Smith,Jason Vargas,0
508,Chris Smith,Jeff Locke,0
509,Chris Smith,Jeremy Jeffress,0
510,Chris Smith,Jimmy Nelson,0
511,Chris Smith,Josh Fields,0
512,Chris Smith,Kirby Yates,0
513,Chris Smith,Lance McCullers Jr.,14
514,Chris Smith,Luke Hochevar,0
515,Chris Smith,Mark Melancon,0
516,Chris Smith,Matt Moore,0
517,Chris Smith,Matt Reynolds,0
518,Chris Smith,Matt Shoemaker,0
519,Chris Smith,Mike Leake,0
520,Chris Smith,Nate Karns,0
521,Chris Smith,Phil Hughes,0
522,Chris Smith,Sammy Solis,0
523,Chris Smith,Santiago Casilla,0
524,Chris Smith,Tom Koehler,0
525,Chris Smith,Trevor Bauer,0
526,Chris Smith,Trevor Cahill,0
527,Chris Smith,Tyler Duffey,0
528,Chris Smith,Vance Worley,5
529,Chris Smith,Wade Davis,0
530,Chris Tillman,Alex Cobb,11
531,Chris Tillman,Alex Wood,1
532,Chris Tillman,Anthony DeSclafani,0
533,Chris Tillman,Archie Bradley,10
534,Chris Tillman,Bobby Parnell,9
535,Chris Tillman,Brad Peacock,0
536,Chris Tillman,Brett Anderson,0
537,Chris Tillman,Brett Oberholtzer,0
538,Chris Tillman,Chris Devenski,0
539,Chris Tillman,Chris Smith,0
540,Chris Tillman,Cody Allen,1
541,Chris Tillman,Corey Knebel,0
542,Chris Tillman,Craig Kimbrel,0
543,Chris Tillman,David Phelps,0
544,Chris Tillman,David Price,5
545,Chris Tillman,David Robertson,6
546,Chris Tillman,Dellin Betances,0
547,Chris Tillman,Derek Holland,0
548,Chris Tillman,Dillon Gee,6
549,Chris Tillman,Drew Pomeranz,6
550,Chris Tillman,Edinson Volquez,5
551,Chris Tillman,Fernando Abad,0
552,Chris Tillman,Fernando Salas,0
553,Chris Tillman,Gerrit Cole,0
554,Chris Tillman,Homer Bailey,0
555,Chris Tillman,Ian Kennedy,5
556,Chris Tillman,J.P. Howell,5
557,Chris Tillman,James Paxton,1
558,Chris Tillman,James Shields,11
559,Chris Tillman,Jarred Cosart,0
560,Chris Tillman,Jason Vargas,0
561,Chris Tillman,Jeff Locke,0
562,Chris Tillman,Jeremy Jeffress,0
563,Chris Tillman,Jimmy Nelson,5
564,Chris Tillman,Josh Fields,0
565,Chris Tillman,Kirby Yates,0
566,Chris Tillman,Lance McCullers Jr.,6
567,Chris Tillman,Luke Hochevar,0
568,Chris Tillman,Mark Melancon,0
569,Chris Tillman,Matt Moore,5
570,Chris Tillman,Matt Reynolds,0
571,Chris Tillman,Matt Shoemaker,0
572,Chris Tillman,Mike Leake,0
573,Chris Tillman,Nate Karns,1
574,Chris Tillman,Phil Hughes,5
575,Chris Tillman,Sammy Solis,0
576,Chris Tillman,Santiago Casilla,0
577,Chris Tillman,Tom Koehler,6
578,Chris Tillman,Trevor Bauer,0
579,Chris Tillman,Trevor Cahill,0
580,Chris Tillman,Tyler Duffey,11
581,Chris Tillman,Vance Worley,5
582,Chris Tillman,Wade Davis,0
