pitch_type,pitcher_name,events,description,home_team,away_team,inning,stand,p_throws,home_score,away_score,batter_name
,"Festa, David",double,hit_into_play,TB,MIN,3,L,R,2,8,MLBAM_666018
CU,"Arrighetti, Spencer",walk,ball,STL,HOU,2,R,R,1,2,MLBAM_676480
,"Adams, Travis",single,hit_into_play,TB,MIN,9,R,R,9,9,MLBAM_700246
,"Cantillo, Joey",single,hit_into_play,ATH,CLE,3,R,L,0,7,MLBAM_609280
FC,"Kremer, Dean",field_out,hit_into_play,DET,BAL,3,L,R,3,4,MLBAM_681481
,"Blackburn, Paul",single,hit_into_play,WSH,NYM,3,L,R,3,1,MLBAM_663993
CH,"Young, Brandon",strikeout,swinging_strike,DET,BAL,7,R,R,11,4,MLBAM_663330
,"Baz, Shane",sac_fly,hit_into_play,TB,MIN,2,R,R,1,6,MLBAM_669304
,"Cabrera, Edward",home_run,hit_into_play,BOS,MIA,3,R,R,3,1,MLBAM_596115
SL,"Stroman, Marcus",field_out,hit_into_play,NYY,TOR,3,L,R,2,1,MLBAM_695238
SI,"Mikolas, Miles",strikeout,swinging_strike,STL,HOU,3,R,R,1,2,MLBAM_670623
FF,"Wrobleski, Justin",strikeout,called_strike,SEA,LAD,3,R,L,0,3,MLBAM_645302
CH,"Ober, Bailey",single,hit_into_play,MIN,ATL,3,L,R,1,1,MLBAM_686948
SL,"Jones, Jared",strikeout,called_strike,PIT,PHI,2,R,R,0,1,MLBAM_672463
FF,"Rodríguez, Yariel",single,hit_into_play,NYY,TOR,3,L,R,2,1,MLBAM_669224
,"Adams, Travis",strikeout,swinging_strike,TB,MIN,9,R,R,9,9,MLBAM_700652
,"Hoglund, Gunnar",strikeout,called_strike,ATH,CLE,8,L,R,3,12,MLBAM_684222
,"Cantillo, Joey",field_out,hit_into_play,ATH,CLE,3,L,L,0,7,MLBAM_668709
SL,"López, Reynaldo",double_play,hit_into_play,MIN,ATL,3,L,R,2,1,MLBAM_650489
,"Baz, Shane",single,hit_into_play,TB,MIN,2,L,R,1,6,MLBAM_663616
FF,"Montero, Keider",walk,ball,DET,BAL,3,L,R,3,4,MLBAM_656811
CH,"Evans, Logan",strikeout,swinging_strike,SEA,LAD,6,L,R,0,4,MLBAM_681546
,"Bido, Osvaldo",field_out,hit_into_play,ATH,CLE,3,L,R,0,7,MLBAM_682657
FS,"Kremer, Dean",strikeout,swinging_strike,DET,BAL,3,R,R,3,4,MLBAM_650402
,"Cabrera, Edward",walk,ball,BOS,MIA,2,L,R,3,1,MLBAM_680776
FF,"Sauer, Matt",double,hit_into_play,SEA,LAD,9,R,R,2,6,MLBAM_702112
,"Williams, Trevor",field_out,hit_into_play,WSH,NYM,3,L,R,0,1,MLBAM_596019
,"Festa, David",strikeout,swinging_strike,TB,MIN,3,L,R,2,8,MLBAM_664040
CH,"Lugo, Seth",walk,ball,KC,LAA,2,L,R,2,1,MLBAM_703185
SI,"Ober, Bailey",field_out,hit_into_play,MIN,ATL,3,R,R,1,1,MLBAM_650559
ST,"Blubaugh, AJ",walk,ball,STL,HOU,6,R,R,4,3,MLBAM_691026
FF,"López, Reynaldo",single,hit_into_play,MIN,ATL,3,R,R,1,1,MLBAM_680777
,"Buehler, Walker",walk,ball,BOS,MIA,3,L,R,3,1,MLBAM_669065
CH,"Young, Brandon",strikeout,swinging_strike,DET,BAL,7,L,R,11,4,MLBAM_805808
,"Blackburn, Paul",home_run,hit_into_play,WSH,NYM,3,L,R,1,1,MLBAM_695578
,"McCaughan, Darren",strikeout,swinging_strike,TB,MIN,6,R,R,6,8,MLBAM_663796
FF,"López, Reynaldo",force_out,hit_into_play,MIN,ATL,3,L,R,1,1,MLBAM_670242
FF,"Ober, Bailey",home_run,hit_into_play,MIN,ATL,3,L,R,1,0,MLBAM_672284
,"Baz, Shane",sac_fly,hit_into_play,TB,MIN,2,R,R,1,5,MLBAM_621439
SI,"Sauer, Matt",walk,ball,SEA,LAD,9,R,R,2,6,MLBAM_703197
,"Bido, Osvaldo",home_run,hit_into_play,ATH,CLE,3,R,R,0,6,MLBAM_595978
FF,"Soriano, José",strikeout,swinging_strike,KC,LAA,3,L,R,2,2,MLBAM_686523
FF,"Arrighetti, Spencer",walk,ball,STL,HOU,2,R,R,1,2,MLBAM_665877
CH,"Montero, Keider",strikeout,swinging_strike,DET,BAL,2,R,R,2,4,MLBAM_602104
CU,"Mikolas, Miles",strikeout,swinging_strike_blocked,STL,HOU,3,L,R,1,2,MLBAM_670541
FF,"Stroman, Marcus",strikeout,called_strike,NYY,TOR,3,R,R,2,1,MLBAM_694661
,"Bido, Osvaldo",strikeout,swinging_strike,ATH,CLE,3,R,R,0,6,MLBAM_672356
FF,"López, Reynaldo",walk,ball,MIN,ATL,3,R,R,1,1,MLBAM_672373
FF,"Hancock, Emerson",field_out,hit_into_play,SEA,LAD,3,L,R,0,0,MLBAM_669242
SI,"Phillips, Tyler",walk,ball,PIT,PHI,5,R,R,1,1,MLBAM_502054
SI,"Jones, Jared",hit_by_pitch,hit_by_pitch,PIT,PHI,2,R,R,0,1,MLBAM_663714
,"Blackburn, Paul",single,hit_into_play,WSH,NYM,3,R,R,1,1,MLBAM_686611
,"Cantillo, Joey",force_out,hit_into_play,ATH,CLE,3,R,L,0,7,MLBAM_680474
FF,"Rodríguez, Yariel",strikeout,swinging_strike,NYY,TOR,2,L,R,2,1,MLBAM_623205
SI,"Sánchez, Cristopher",single,hit_into_play,PIT,PHI,4,R,L,0,1,MLBAM_693304
,"Adams, Travis",field_out,hit_into_play,TB,MIN,9,L,R,9,9,MLBAM_663968
,"Cecconi, Slade",field_out,hit_into_play,ATH,CLE,6,R,R,3,8,MLBAM_672016
SI,"Evans, Logan",single,hit_into_play,SEA,LAD,6,R,R,0,4,MLBAM_621035
,"Hoglund, Gunnar",home_run,hit_into_play,ATH,CLE,8,L,R,3,9,MLBAM_687588
,"Cabrera, Edward",hit_by_pitch,hit_by_pitch,BOS,MIA,2,R,R,3,1,MLBAM_572204
,"Baz, Shane",fielders_choice,hit_into_play,TB,MIN,2,R,R,1,4,MLBAM_621043
CU,"Wrobleski, Justin",strikeout,swinging_strike_blocked,SEA,LAD,3,L,L,0,3,MLBAM_689070
,"McCaughan, Darren",field_out,hit_into_play,TB,MIN,6,L,R,6,8,MLBAM_676044
,"Blackburn, Paul",home_run,hit_into_play,WSH,NYM,3,L,R,0,1,MLBAM_682928
,"Festa, David",double,hit_into_play,TB,MIN,3,R,R,1,8,MLBAM_650490
SL,"Ober, Bailey",field_out,hit_into_play,MIN,ATL,2,R,R,0,0,MLBAM_663897
,"Williams, Trevor",single,hit_into_play,WSH,NYM,3,R,R,0,0,MLBAM_640492
,"Adams, Travis",field_out,hit_into_play,TB,MIN,8,L,R,9,8,MLBAM_670224
FF,"Mize, Casey",strikeout,foul_tip,DET,BAL,7,L,R,11,4,MLBAM_702616
FC,"Kremer, Dean",double,hit_into_play,DET,BAL,3,L,R,3,4,MLBAM_682985
,"Baz, Shane",single,hit_into_play,TB,MIN,2,L,R,1,4,MLBAM_666397
,"Williams, Trevor",double,hit_into_play,WSH,NYM,3,R,R,0,0,MLBAM_672744
,"Cantillo, Joey",single,hit_into_play,ATH,CLE,3,R,L,0,7,MLBAM_669722
FF,"Blubaugh, AJ",field_out,hit_into_play,STL,HOU,6,R,R,4,3,MLBAM_676480
CH,"Yarbrough, Ryan",field_out,hit_into_play,NYY,TOR,7,R,L,4,5,MLBAM_682003
,"Buehler, Walker",strikeout,swinging_strike,BOS,MIA,3,L,R,3,1,MLBAM_542963
SI,"Mikolas, Miles",sac_fly_double_play,hit_into_play,STL,HOU,2,R,R,1,1,MLBAM_514888
FC,"Evans, Logan",grounded_into_double_play,hit_into_play,SEA,LAD,6,R,R,0,4,MLBAM_605131
,"Adams, Travis",field_out,hit_into_play,TB,MIN,8,L,R,9,8,MLBAM_802415
CU,"Arrighetti, Spencer",field_out,hit_into_play,STL,HOU,2,L,R,1,2,MLBAM_669357
SI,"Sánchez, Cristopher",field_out,hit_into_play,PIT,PHI,3,R,L,0,1,MLBAM_502054
,"Blackburn, Paul",field_out,hit_into_play,WSH,NYM,3,R,R,0,1,MLBAM_668800
,"Cecconi, Slade",strikeout,swinging_strike,ATH,CLE,6,R,R,3,8,MLBAM_687515
CH,"Jones, Jared",strikeout,swinging_strike,PIT,PHI,2,L,R,0,1,MLBAM_687282
FS,"Kremer, Dean",field_out,hit_into_play,DET,BAL,2,L,R,3,4,MLBAM_700242
FF,"Soriano, José",field_out,hit_into_play,KC,LAA,2,R,R,2,1,MLBAM_686475
CH,"Young, Brandon",field_out,hit_into_play,DET,BAL,6,L,R,11,4,MLBAM_703601
CU,"Mikolas, Miles",single,hit_into_play,STL,HOU,2,R,R,1,0,MLBAM_621529
FF,"Mize, Casey",field_out,hit_into_play,DET,BAL,7,L,R,11,4,MLBAM_670869
KC,"Montero, Keider",field_out,hit_into_play,DET,BAL,2,L,R,2,4,MLBAM_702616
,"Hoglund, Gunnar",strikeout,swinging_strike,ATH,CLE,8,L,R,3,9,MLBAM_675455
FF,"Hancock, Emerson",single,hit_into_play,SEA,LAD,3,L,R,0,0,MLBAM_808975
,"Bido, Osvaldo",field_out,hit_into_play,ATH,CLE,2,R,R,0,6,MLBAM_678877
SL,"Soriano, José",strikeout,swinging_strike,KC,LAA,2,L,R,2,1,MLBAM_671221
,"Festa, David",strikeout,swinging_strike,TB,MIN,3,L,R,1,8,MLBAM_694966
,"Cabrera, Edward",home_run,hit_into_play,BOS,MIA,2,L,R,2,1,MLBAM_647351
CU,"Sauer, Matt",home_run,hit_into_play,SEA,LAD,9,R,R,0,6,MLBAM_675448
FF,"Lugo, Seth",strikeout,called_strike,KC,LAA,2,R,R,2,1,MLBAM_695681
FS,"Rodríguez, Yariel",single,hit_into_play,NYY,TOR,2,L,R,2,1,MLBAM_678391
FF,"López, Reynaldo",single,hit_into_play,MIN,ATL,3,L,R,1,1,MLBAM_680577
ST,"Phillips, Tyler",force_out,hit_into_play,PIT,PHI,5,R,R,1,1,MLBAM_675961
FF,"Scott, Tayler",strikeout,swinging_strike,STL,HOU,4,R,R,3,2,MLBAM_691026
SL,"Hancock, Emerson",single,hit_into_play,SEA,LAD,3,R,R,0,0,MLBAM_656308
,"Cantillo, Joey",field_out,hit_into_play,ATH,CLE,2,L,L,0,6,MLBAM_668832
FF,"Montero, Keider",field_out,hit_into_play,DET,BAL,2,L,R,2,4,MLBAM_670869
,"Cabrera, Edward",field_out,hit_into_play,BOS,MIA,2,R,R,2,1,MLBAM_608701
SI,"Kremer, Dean",walk,ball,DET,BAL,2,R,R,3,4,MLBAM_668952
,"McCaughan, Darren",home_run,hit_into_play,TB,MIN,6,L,R,5,8,MLBAM_694966
FC,"Arrighetti, Spencer",field_out,hit_into_play,STL,HOU,1,R,R,1,0,MLBAM_671056
FF,"Hancock, Emerson",strikeout,swinging_strike,SEA,LAD,2,L,R,0,0,MLBAM_681546
FF,"Wrobleski, Justin",double,hit_into_play,SEA,LAD,3,R,L,0,3,MLBAM_669208
FC,"Sauer, Matt",single,hit_into_play,SEA,LAD,9,L,R,0,6,MLBAM_670156
FF,"Jones, Jared",double,hit_into_play,PIT,PHI,2,R,R,0,0,MLBAM_805249
FF,"Young, Brandon",field_out,hit_into_play,DET,BAL,6,R,R,11,4,MLBAM_693307
,"Sulser, Cole",field_out,hit_into_play,TB,MIN,6,R,R,5,8,MLBAM_669304
FF,"Ober, Bailey",double,hit_into_play,MIN,ATL,2,R,R,0,0,MLBAM_545350
SI,"Rodríguez, Yariel",field_out,hit_into_play,NYY,TOR,2,R,R,2,1,MLBAM_672724
FF,"Evans, Logan",single,hit_into_play,SEA,LAD,6,R,R,0,4,MLBAM_571771
,"Baz, Shane",single,hit_into_play,TB,MIN,2,R,R,1,4,MLBAM_807712
FC,"Robberse, Sem",grounded_into_double_play,hit_into_play,STL,HOU,8,R,R,6,4,MLBAM_620449
CH,"Yarbrough, Ryan",strikeout,called_strike,NYY,TOR,7,R,L,4,5,MLBAM_694215
,"Bido, Osvaldo",field_out,hit_into_play,ATH,CLE,2,L,R,0,6,MLBAM_700932
FC,"Lugo, Seth",single,hit_into_play,KC,LAA,2,R,R,2,1,MLBAM_666176
FS,"Mize, Casey",strikeout,swinging_strike,DET,BAL,7,L,R,11,4,MLBAM_624503
,"McCaughan, Darren",strikeout,swinging_strike,TB,MIN,6,R,R,5,8,MLBAM_700246
,"Baz, Shane",field_out,hit_into_play,TB,MIN,1,R,R,0,4,MLBAM_668885
SI,"Stroman, Marcus",field_out,hit_into_play,NYY,TOR,2,R,R,2,1,MLBAM_677870
SL,"Wrobleski, Justin",single,hit_into_play,SEA,LAD,3,L,L,0,3,MLBAM_703155
SL,"López, Reynaldo",field_out,hit_into_play,MIN,ATL,2,L,R,1,0,MLBAM_686797
,"Buehler, Walker",field_out,hit_into_play,BOS,MIA,2,R,R,2,1,MLBAM_691185
,"Laskey, Adam",field_out,hit_into_play,BOS,MIA,3,L,L,9,1,MLBAM_807799
ST,"Diekman, Jake",strikeout,foul_tip,MIN,ATL,6,R,L,7,1,MLBAM_664034
,"Hickman, Mason",field_out,hit_into_play,ATH,CLE,8,L,R,5,12,MLBAM_664670
FF,"Blubaugh, AJ",single,hit_into_play,STL,HOU,6,R,R,3,3,MLBAM_665877
,"Cecconi, Slade",field_out,hit_into_play,ATH,CLE,6,L,R,3,8,MLBAM_669722
,"Cantillo, Joey",strikeout,swinging_strike,ATH,CLE,2,R,L,0,6,MLBAM_687231
SI,"Guenther, Sean",strikeout,called_strike,DET,BAL,9,L,L,11,7,MLBAM_679631
SI,"Lugo, Seth",strikeout,called_strike,KC,LAA,2,R,R,2,1,MLBAM_683090
,"Bido, Osvaldo",home_run,hit_into_play,ATH,CLE,2,L,R,0,4,MLBAM_682177
CH,"Jones, Jared",strikeout,swinging_strike,PIT,PHI,2,L,R,0,0,MLBAM_670276
,"Williams, Trevor",field_out,hit_into_play,WSH,NYM,3,R,R,0,0,MLBAM_621438
,"Festa, David",triple,hit_into_play,TB,MIN,3,L,R,1,8,MLBAM_670764
FF,"Robberse, Sem",single,hit_into_play,STL,HOU,8,L,R,6,4,MLBAM_690474
,"Rooney, John",field_out,hit_into_play,BOS,MIA,7,R,L,17,2,MLBAM_808265
,"Adams, Travis",field_out,hit_into_play,TB,MIN,8,L,R,9,8,MLBAM_691003
CU,"Wrobleski, Justin",strikeout,called_strike,SEA,LAD,2,R,L,0,0,MLBAM_664238
FF,"Heid, Dylan",strikeout,swinging_strike,DET,BAL,8,R,R,11,4,MLBAM_621512
,"Cabrera, Edward",strikeout,swinging_strike,BOS,MIA,2,R,R,2,1,MLBAM_657136
ST,"Evans, Logan",strikeout,swinging_strike,SEA,LAD,5,R,R,0,4,MLBAM_606192
FC,"Sauer, Matt",strikeout,called_strike,SEA,LAD,8,L,R,0,5,MLBAM_806191
SI,"Soriano, José",field_out,hit_into_play,KC,LAA,2,R,R,2,1,MLBAM_672580
CH,"Mikolas, Miles",field_out,hit_into_play,STL,HOU,2,R,R,1,0,MLBAM_643289
CH,"Sánchez, Cristopher",strikeout,swinging_strike,PIT,PHI,3,R,L,0,1,MLBAM_675961
,"Blackburn, Paul",truncated_pa,ball,WSH,NYM,2,R,R,0,0,MLBAM_668800
FF,"Rodríguez, Yariel",field_out,hit_into_play,NYY,TOR,2,L,R,2,1,MLBAM_642086
,"Blackburn, Paul",single,hit_into_play,WSH,NYM,2,R,R,0,0,MLBAM_665953
,"Buehler, Walker",field_out,hit_into_play,BOS,MIA,2,R,R,2,0,MLBAM_691594
,"Bido, Osvaldo",single,hit_into_play,ATH,CLE,2,R,R,0,4,MLBAM_671289
FS,"Kremer, Dean",field_out,hit_into_play,DET,BAL,2,R,R,3,4,MLBAM_693307
,"Hoglund, Gunnar",walk,ball,ATH,CLE,8,L,R,3,9,MLBAM_690984
,"Cecconi, Slade",walk,ball,ATH,CLE,5,R,R,1,8,MLBAM_640902
FF,"Blubaugh, AJ",field_out,hit_into_play,STL,HOU,6,L,R,3,3,MLBAM_669357
SI,"González, Victor",strikeout,called_strike,KC,LAA,4,R,L,6,2,MLBAM_690469
SI,"Hancock, Emerson",grounded_into_double_play,hit_into_play,SEA,LAD,2,R,R,0,0,MLBAM_621035
SL,"Hernández, Daysbel",strikeout,swinging_strike,MIN,ATL,5,R,R,7,1,MLBAM_664056
FF,"Stroman, Marcus",single,hit_into_play,NYY,TOR,2,L,R,2,1,MLBAM_680718
,"McCaughan, Darren",field_out,hit_into_play,TB,MIN,5,R,R,5,8,MLBAM_643376
FS,"Phillips, Tyler",walk,ball,PIT,PHI,5,L,R,1,1,MLBAM_641943
ST,"Yarbrough, Ryan",strikeout,swinging_strike,NYY,TOR,7,L,L,4,5,MLBAM_814431
,"Ottavino, Adam",strikeout,called_strike,BOS,MIA,7,R,R,13,2,MLBAM_656537
SL,"Montero, Keider",triple,hit_into_play,DET,BAL,1,L,R,0,1,MLBAM_694212
FF,"Scott, Tayler",double_play,hit_into_play,STL,HOU,4,R,R,3,2,MLBAM_676480
FC,"Arrighetti, Spencer",walk,ball,STL,HOU,1,L,R,1,0,MLBAM_676475
SL,"Hancock, Emerson",single,hit_into_play,SEA,LAD,2,R,R,0,0,MLBAM_605131
,"Cruz, Yovanny",field_out,hit_into_play,BOS,MIA,9,R,R,20,5,MLBAM_810891
,"Rooney, John",double,hit_into_play,BOS,MIA,7,L,L,16,2,MLBAM_687208
FF,"Mize, Casey",grounded_into_double_play,hit_into_play,DET,BAL,6,L,R,9,4,MLBAM_694212
,"Adams, Travis",single,hit_into_play,TB,MIN,8,R,R,9,8,MLBAM_663796
,"Williams, Trevor",field_out,hit_into_play,WSH,NYM,2,R,R,0,0,MLBAM_608841
CH,"Jennings, Ryan",strikeout,swinging_strike_blocked,NYY,TOR,4,L,R,3,1,MLBAM_623205
SL,"Blewett, Scott",strikeout,swinging_strike_blocked,MIN,ATL,9,R,R,7,1,MLBAM_686758
ST,"Reyzelman, Eric",strikeout,swinging_strike,NYY,TOR,5,R,R,3,2,MLBAM_694661
FF,"Yean, Eddy",field_out,hit_into_play,PIT,PHI,9,L,R,3,2,MLBAM_806953
,"Festa, David",field_out,hit_into_play,TB,MIN,2,R,R,1,7,MLBAM_643376
,"Englert, Mason",strikeout,called_strike,TB,MIN,5,R,R,5,8,MLBAM_668885
,"Adams, Travis",walk,ball,TB,MIN,8,L,R,9,8,MLBAM_676044
FF,"Lugo, Seth",field_out,hit_into_play,KC,LAA,1,L,R,0,1,MLBAM_660162
,"Arias, Luarbert",field_out,hit_into_play,BOS,MIA,6,R,R,13,2,MLBAM_689651
,"Kranick, Max",field_out,hit_into_play,WSH,NYM,4,L,R,3,1,MLBAM_682928
CU,"Nance, Tommy",strikeout,called_strike,NYY,TOR,8,L,R,6,5,MLBAM_814431
FF,"Rinehart, Logan",field_out,hit_into_play,DET,BAL,4,R,R,8,4,MLBAM_669234
CH,"Montero, Keider",walk,blocked_ball,DET,BAL,1,L,R,0,1,MLBAM_666185
,"Sims, Lucas",field_error,hit_into_play,WSH,NYM,6,L,R,3,2,MLBAM_683146
,"Baz, Shane",sac_fly,hit_into_play,TB,MIN,1,L,R,0,3,MLBAM_681508
FF,"Mize, Casey",single,hit_into_play,DET,BAL,6,L,R,9,4,MLBAM_666185
FF,"Ober, Bailey",strikeout,called_strike,MIN,ATL,2,L,R,0,0,MLBAM_668843
,"McCaughan, Darren",strikeout,called_strike,TB,MIN,5,R,R,5,8,MLBAM_666624
FS,"Mize, Casey",strikeout,swinging_strike,DET,BAL,6,R,R,9,4,MLBAM_691723
FF,"Guenther, Sean",field_out,hit_into_play,DET,BAL,9,R,L,11,6,MLBAM_669236
CH,"Yean, Eddy",single,hit_into_play,PIT,PHI,9,L,R,3,2,MLBAM_802531
,"Bido, Osvaldo",field_out,hit_into_play,ATH,CLE,2,L,R,0,4,MLBAM_683953
,"Brazobán, Huascar",single,hit_into_play,WSH,NYM,6,L,R,3,4,MLBAM_682928
FF,"Scott, Tayler",walk,ball,STL,HOU,4,R,R,3,2,MLBAM_665877
,"Baz, Shane",field_out,hit_into_play,TB,MIN,1,R,R,0,2,MLBAM_543877
FC,"Lugo, Seth",single,hit_into_play,KC,LAA,1,L,R,0,0,MLBAM_694384
FF,"Young, Brandon",strikeout,foul_tip,DET,BAL,6,L,R,11,4,MLBAM_690291
CH,"Heid, Dylan",field_out,hit_into_play,DET,BAL,8,L,R,11,4,MLBAM_690291
