,winner,loser,score
283,Aaron Cook,Heath Bell,5
284,Aaron Cook,Hiroki Kuroda,110
285,Aaron Cook,Huston Street,110
286,Aaron Cook,J.C. Romero,25
287,Aaron Cook,J.P. Howell,15
288,Aaron Cook,Jack Egbert,0
289,Aaron Cook,Jamey Wright,28
290,Aaron Cook,Jamie Moyer,85
291,Aaron Cook,Jamie Walker,0
292,Aaron Cook,Jason Isringhausen,1
293,Aaron Cook,Jason Jennings,17
294,Aaron Cook,Jason Marquis,159
295,Aaron Cook,Jay Marshall,3
296,Aaron Cook,Jeff Karstens,71
297,Aaron Cook,Jeff Manship,1
298,Aaron Cook,Jeff Suppan,55
299,Aaron Cook,Jeff Weaver,80
300,Aaron Cook,Jeremy Guthrie,43
301,Aaron Cook,Jerry Blevins,4
302,Aaron Cook,Jesse Carlson,40
303,Aaron Cook,Jesse Litsch,0
304,Aaron Cook,Jim Johnson,67
305,Aaron Cook,Joe Beimel,70
306,Aaron Cook,Joe Blanton,88
307,Aaron Cook,Joe Martinez,46
308,Aaron Cook,Joe Smith,25
309,Aaron Cook,Joel Pineiro,127
310,Aaron Cook,John Bale,9
311,Aaron Cook,John Maine,27
312,Aaron Cook,John Smoltz,0
313,Aaron Cook,Jon Garland,121
314,Aaron Cook,Jon Lester,36
315,Aaron Cook,Jon Switzer,0
316,Aaron Cook,Jorge Julio,13
317,Aaron Cook,Jorge Sosa,14
318,Aaron Cook,Jose Ascanio,45
319,Aaron Cook,Jose Veras,25
320,Aaron Cook,Josh Geer,70
321,Aaron Cook,Josh Kinney,21
322,Aaron Cook,Josh Rupe,0
323,Aaron Cook,Julian Tavarez,24
324,Aaron Cook,Justin Berg,32
325,Aaron Cook,Justin Masterson,14
326,Aaron Cook,Justin Miller,80
327,Aaron Cook,Justin Speier,3
328,Aaron Cook,Kam Mickolio,0
329,Aaron Cook,Kevin Gregg,0
330,Aaron Cook,Kevin Slowey,29
331,Aaron Cook,Kyle Farnsworth,6
332,Aaron Cook,Kyle Kendrick,15
333,Aaron Cook,Kyle Lohse,88
334,Aaron Cook,Kyle McClellan,67
335,Aaron Cook,Lance Broadway,33
336,Aaron Cook,Livan Hernandez,61
337,Aaron Cook,Luis Perdomo,92
338,Aaron Cook,Luke Gregerson,10
339,Aaron Cook,Luke Hochevar,46
340,Aaron Cook,Manny Corpas,17
341,Aaron Cook,Marc Rzepczynski,6
342,Aaron Cook,Matt Albers,21
343,Aaron Cook,Matt Lindstrom,21
344,Aaron Cook,Matt Maloney,23
345,Aaron Cook,Matt Palmer,32
346,Aaron Cook,Miguel Batista,77
347,Aaron Cook,Mike Gosling,3
348,Aaron Cook,Mike Hampton,25
349,Aaron Cook,Mike Hinckley,26
350,Aaron Cook,Mike MacDougal,118
351,Aaron Cook,Mike Pelfrey,103
352,Aaron Cook,Mitchell Boggs,17
353,Aaron Cook,Nate Robertson,15
354,Aaron Cook,Nick Adenhart,15
355,Aaron Cook,Oliver Perez,0
356,Aaron Cook,Pat Misch,70
357,Aaron Cook,Pedro Feliciano,85
358,Aaron Cook,Pedro Martinez,16
359,Aaron Cook,Peter Moylan,72
360,Aaron Cook,Phil Dumatrait,18
