winner,loser,score
"Abbott, Andrew","Gilbreath, Lucas",0.4872633218765259
"Abbott, Andrew","Gillaspie, Logan",4.791060924530029
"Abbott, Andrew","Gillispie, Connor",1.7845500707626343
"Abbott, Andrew","Ginkel, Kevin",20.633832931518555
"Abbott, Andrew","Ginn, J.T.",6.1317949295043945
"Abbott, Andrew","Glasnow, Tyler",40.69215393066406
"Abbott, Andrew","Gomber, Austin",22.13652229309082
"Abbott, Andrew","Gonzales, Marco",2.1861934661865234
"Abbott, Andrew","Gordon, Tanner",8.158888816833496
"Abbott, Andrew","Gore, MacKenzie",11.485818862915039
"Abbott, Andrew","Gose, Anthony",3.7519030570983887
"Abbott, Andrew","Graceffo, Gordon",2.500392436981201
"Abbott, Andrew","Graterol, Brusdar",4.858210563659668
"Abbott, Andrew","Gray, Jon",11.358587265014648
"Abbott, Andrew","Gray, Josiah",1.0998250246047974
"Abbott, Andrew","Gray, Sonny",40.03998947143555
"Abbott, Andrew","Green, Chad",11.187030792236328
"Abbott, Andrew","Greene, Hunter",5.7491559982299805
"Abbott, Andrew","Grove, Michael",7.120962142944336
"Abbott, Andrew","Guenther, Sean",3.813724994659424
"Abbott, Andrew","Guerrero, Luis",5.349654674530029
"Abbott, Andrew","Guillorme, Luis",0.3693227171897888
"Abbott, Andrew","Gutierrez, Vladimir",2.7301836013793945
"Abbott, Andrew","Gómez, Yoendrys",0.8665748834609985
"Abbott, Andrew","Hader, Josh",22.97052001953125
"Abbott, Andrew","Halvorsen, Seth",6.814728260040283
"Abbott, Andrew","Hamilton, Ian",6.446533203125
"Abbott, Andrew","Hampson, Garrett",1.4194356203079224
"Abbott, Andrew","Hanifee, Brenan",6.464155197143555
"Abbott, Andrew","Harrison, Kyle",6.0986247062683105
"Abbott, Andrew","Hartlieb, Geoff",2.8046884536743164
"Abbott, Andrew","Harvey, Hunter",8.431167602539062
"Abbott, Andrew","Headrick, Brent",2.9688563346862793
