winner,loser,score
Aaron Judge,Alec Bohm,14.48869514465332
Aaron Judge,Alec Burleson,16.878206253051758
Aaron Judge,Aledmys Díaz,21.11984634399414
Aaron Judge,Alejandro Kirk,12.513023376464844
Aaron Judge,Alek Thomas,20.12259864807129
Aaron Judge,Alex Bregman,14.917430877685547
Aaron Judge,Alex Call,16.606515884399414
Aaron Judge,Alex Jackson,20.715469360351562
Aaron Judge,Alex Kirilloff,21.84622573852539
Aaron Judge,Alex Verdugo,15.219545364379883
Aaron Judge,Alexander Canario,20.889434814453125
Aaron Judge,Ali Sánchez,21.74618148803711
Aaron Judge,Alika Williams,21.99058723449707
Aaron Judge,Amed Rosario,25.226783752441406
Aaron Judge,Andrew Benintendi,19.13186264038086
Aaron Judge,Andrew Knapp,20.259563446044922
Aaron Judge,Andrew Knizner,22.36548614501953
Aaron Judge,Andrew Mccutchen,15.201465606689453
Aaron Judge,Andrew Vaughn,19.556875228881836
Aaron Judge,Andruw Monasterio,19.030323028564453
Aaron Judge,Andrés Chaparro,18.009246826171875
Aaron Judge,Andrés Giménez,20.67157745361328
Aaron Judge,Andy Ibáñez,23.030372619628906
Aaron Judge,Andy Pages,24.098682403564453
Aaron Judge,Angel Martínez,18.432151794433594
Aaron Judge,Anthony Rendon,12.54343318939209
Aaron Judge,Anthony Rizzo,16.83218765258789
Aaron Judge,Anthony Santander,16.204099655151367
Aaron Judge,Anthony Volpe,23.216787338256836
Aaron Judge,Aramis Garcia,20.50969886779785
Aaron Judge,Armando Alvarez,20.20754623413086
Aaron Judge,Austin Barnes,19.69940757751465
Aaron Judge,Austin Hays,22.59099006652832
Aaron Judge,Austin Hedges,24.664634704589844
Aaron Judge,Austin Martin,17.739269256591797
Aaron Judge,Austin Riley,19.750133514404297
Aaron Judge,Austin Shenton,18.966428756713867
Aaron Judge,Austin Slater,15.641531944274902
Aaron Judge,Austin Wells,14.605976104736328
Aaron Judge,Austin Wynns,20.028064727783203
Aaron Judge,Avisaíl García,21.34538459777832
Aaron Judge,Ben Gamel,17.464523315429688
Aaron Judge,Ben Rice,19.499082565307617
Aaron Judge,Ben Rortvedt,18.25637435913086
Aaron Judge,Billy Cook,22.47372817993164
Aaron Judge,Billy Mckinney,21.635589599609375
