i,j,D,W
Aaron Hicks,Christopher Morel,-0.007760881537524487,5963.352085621142
Aaron Hicks,Chuckie Robinson,-0.0003130636299368946,5833.141761199347
Aaron Hicks,Cj Abrams,-0.002687997828912799,5929.307876877362
Aaron Hicks,Cj Alexander,-0.00038884430374931406,5820.272816278932
Aaron Hicks,Coby Mayo,-8.226825618686513e-05,5834.311665283021
Aaron Hicks,Cody Bellinger,-0.0002701953053474418,5879.937924546314
Aaron Hicks,Cole Tucker,-0.0005743630185588783,5831.971857115673
Aaron Hicks,Colt Keith,0.002497227032193217,5889.999099665912
Aaron Hicks,Colton Cowser,0.0035785715909339875,5965.608329152384
Aaron Hicks,Conner Capel,-0.0007840843266578167,5820.272816278932
Aaron Hicks,Connor Joe,-0.008375639431390606,5878.300058829169
Aaron Hicks,Connor Norby,0.0014842203633992413,5853.732073072012
Aaron Hicks,Connor Wong,0.001613364548919057,5897.720466618161
Aaron Hicks,Cooper Hummel,-0.0007308947381062714,5820.272816278932
Aaron Hicks,Corbin Carroll,-0.01591137429281707,5934.221474028794
Aaron Hicks,Corey Julks,0.00036809261308378435,5847.180610203438
Aaron Hicks,Corey Seager,-0.004816355291327271,5897.0185241679565
Aaron Hicks,Cristian Pache,0.0018652232286228445,5858.411689406709
Aaron Hicks,Curt Casali,-0.003951610785705979,5828.462144864651
Aaron Hicks,Curtis Mead,0.0003005007741493788,5836.651473450371
Aaron Hicks,César Salazar,-0.001880027669758052,5820.272816278932
Aaron Hicks,Dairon Blanco,0.0002871348356669632,5830.801953031999
Aaron Hicks,Dan Vogelbach,-0.0010697781064380617,5827.2922407809765
Aaron Hicks,Dane Myers,-5.830477311974402e-05,5840.161185701393
Aaron Hicks,Daniel Schneemann,-0.00028364275190638185,5866.133056358959
Aaron Hicks,Danny Jansen,-0.010807706195298165,5865.431113908754
Aaron Hicks,Danny Mendick,0.00014217943819352078,5836.1835118169
Aaron Hicks,Dansby Swanson,-0.0022983974981147666,5905.67581428517
Aaron Hicks,Darell Hernaiz,-0.0022717963660669094,5835.481569366696
Aaron Hicks,Darren Baker,-0.0004763358771501469,5820.272816278932
Aaron Hicks,Dashawn Keirsey,-0.001295928754399169,5820.272816278932
Aaron Hicks,Daulton Varsho,0.0012362032668136631,5932.750737316621
Aaron Hicks,David Bote,0.00047249583253230256,5824.952432613629
