,winner,loser,score
259,Jacoby Ellsbury,Alfonso Soriano,3
260,Alfredo Marte,Chris Colabello,1
261,Chris Colabello,Alfredo Marte,1
262,Allen Craig,Brayan Pena,0
263,Allen Craig,Buster Posey,3
264,Buster Posey,Allen Craig,3
265,Allen Craig,Nolan Arenado,0
266,Andre Ethier,Alejandro De aza,5
267,Andre Ethier,Buster Posey,2
268,Andre Ethier,Charlie Blackmon,0
269,Andre Ethier,Gregory Polanco,5
270,Andre Ethier,Jonathan Lucroy,5
271,Andre Ethier,Jordy Mercer,0
272,Andre Ethier,Ryan Howard,5
273,Andre Ethier,Yasiel Puig,9
274,Andrelton Simmons,Dj Lemahieu,0
275,Andrelton Simmons,Jayson Werth,1
276,Andrelton Simmons,Yasiel Puig,0
277,Andrew Mccutchen,Adeiny Hechavarria,1
278,Andrew Mccutchen,Aramis Ramirez,1
279,Aramis Ramirez,Andrew Mccutchen,1
280,Andrew Mccutchen,Brayan Pena,2
281,Andrew Mccutchen,Carl Crawford,0
282,Andrew Mccutchen,Dee Strange-gordon,6
283,Andrew Mccutchen,Dj Lemahieu,0
284,Andrew Mccutchen,Elian Herrera,3
285,Andrew Mccutchen,Gregory Polanco,0
286,Andrew Mccutchen,Ian Desmond,0
287,Andrew Mccutchen,Jhonny Peralta,6
288,Andrew Mccutchen,Justin Morneau,4
289,Andrew Mccutchen,Neil Walker,0
290,Andrew Mccutchen,Pedro Alvarez,18
291,Andrew Mccutchen,Scooter Gennett,2
292,Andrew Mccutchen,Troy Tulowitzki,14
293,Andrew Mccutchen,Wilin Rosario,1
294,Andrew Susac,Matt Adams,0
295,Angel Pagan,Brandon Phillips,0
296,Angel Pagan,Chris Coghlan,0
297,Angel Pagan,Domonic Brown,0
298,Angel Pagan,Hunter Pence,0
299,Angel Pagan,Joey Votto,0
300,Angel Pagan,Ryan Braun,0
301,Anthony Gose,Carlos Gomez,0
302,Anthony Gose,Eric Hosmer,1
303,Anthony Recker,Anthony Rizzo,3
304,Anthony Recker,Todd Frazier,2
305,Anthony Rendon,Anthony Rizzo,4
306,Anthony Rendon,Ben Revere,2
307,Anthony Rendon,Carlos Gomez,3
308,Carlos Gomez,Anthony Rendon,3
309,Anthony Rendon,Casey Mcgehee,1
310,Casey Mcgehee,Anthony Rendon,1
311,Anthony Rendon,Cody Asche,1
312,Anthony Rendon,Devin Mesoraco,0
313,Anthony Rendon,Dj Lemahieu,0
314,Anthony Rendon,Drew Stubbs,0
