Player,ScaledRank
"Zeferjahn, Ryan",-9093623.27416757
"Yates, Kirby",-9093628.030907976
"García, Deivi",-9093628.641070098
"Howard, Spencer",-9093629.145060433
"Kahnle, Tommy",-9093640.234395383
"Rocker, Kumar",-9093652.789745236
"Davis, Noah",-9093657.938949129
"Festa, Matt",-9093678.717408678
"Manning, Matt",-9093691.67988399
"Keuchel, Dallas",-9093694.159243675
"Aldegheri, Sam",-9093701.298659695
"Slaten, Justin",-9093704.030339863
"Whitlock, Garrett",-9093718.213954791
"Madden, Ty",-9093720.433246832
"Clevinger, Mike",-9093722.753322434
"Garabito, Gerson",-9093738.11875925
"Paredes, Enoli",-9093741.060940225
"Baker, Bryan",-9093745.238491565
"Sauer, Matt",-9093749.110331576
"Marte, José",-9093777.49329855
"McArthur, James",-9093784.821491463
"Nance, Tommy",-9093785.654658798
"Ferrer, Jose A.",-9093796.224941814
"Helsley, Ryan",-9093797.480707675
"Sewald, Paul",-9093799.040855361
"Alzolay, Adbert",-9093819.116980512
"Núñez, Dedniel",-9093820.705975864
"Taylor, Troy",-9093823.515718222
"Salazar, Eduardo",-9093827.516483305
"Brooks, Aaron",-9093847.599585371
"Muller, Kyle",-9093855.757005522
"Snider, Collin",-9093860.43282031
"Alexander, Scott",-9093869.315675566
"Merryweather, Julian",-9093883.503902985
"González, Victor",-9093890.423289778
"Long, Sam",-9093905.917230997
"Heller, Ben",-9093910.788923293
"Uribe, Abner",-9093911.912292166
"Beeks, Jalen",-9093918.692576252
"Scherzer, Max",-9093934.283019327
"Petersen, Michael",-9093939.368432524
"Cisnero, José",-9093963.29581472
"Rosenberg, Kenny",-9093967.62406802
"Joyce, Ben",-9093968.233250838
"Stripling, Ross",-9093970.57369817
"Thompson, Keegan",-9093972.994402839
"Shuster, Jared",-9093982.511100918
"Pérez, Cionel",-9093983.718451127
"McGough, Scott",-9093991.538209008
"Almonte, Yency",-9093994.706882909
"Walston, Blake",-9094009.832454218
"Houser, Adrian",-9094011.87331227
"Beede, Tyler",-9094024.048632637
"Peralta, Luis",-9094028.916703748
"King, John",-9094030.789399436
"Ramirez, Emmanuel",-9094041.223700069
"Holman, Grant",-9094041.664583996
"Marte, Yunior",-9094053.908332065
"Quijada, José",-9094062.24584121
"Ellard, Fraser",-9094073.34472539
"Germán, Domingo",-9094073.625093566
"Cuas, Jose",-9094083.80432381
"Lange, Alex",-9094088.993274905
"Irvin, Jake",-9094090.943661544
"De Los Santos, Enyel",-9094098.671462506
"Henry, Tommy",-9094101.584511938
"Roberts, Ethan",-9094104.424357751
"Suarez, José",-9094109.411667924
"Hicks, Jordan",-9094114.604620704
"Hamilton, Ian",-9094129.974390527
"Ryan, Ryder",-9094132.03526131
"Cimber, Adam",-9094141.183218153
"Leone, Dominic",-9094145.73628167
"Pressly, Ryan",-9094153.70859102
"Rodríguez, Yerry",-9094155.17031683
"Matthews, Zebby",-9094156.600196954
"Kelly, Michael",-9094156.907792622
"Soriano, George",-9094160.436801637
"Lowder, Rhett",-9094164.175650282
"Iglesias, Raisel",-9094177.834355297
"Fleming, Josh",-9094178.50833119
"Brazobán, Huascar",-9094179.332952242
"Gordon, Tanner",-9094181.6559289
"Sánchez, Sixto",-9094187.02980283
